1	st	first	11	th	eleventh	21	st	twenty-first	31	st	thirty-first
2	nd	second	12	th	twelfth	22	nd	twenty-second	40	th	fortieth
3	rd	third	13	th	thirteenth	23	rd	twenty-third	50	th	fiftieth
4	th	fourth	14	th	fourteenth	24	th	twenty-fourth	60	th	sixtieth
5	th	fifth	15	th	fifteenth	25	th	twenty-fifth	70	th	seventieth
6	th	sixth	16	th	sixteenth	26	th	twenty-sixth	80	th	eightieth
7	th	seventh	17	th	seventeenth	27	th	twenty-seventh	90	th	ninetieth
8	th	eighth	18	th	eighteenth	28	th	twenty-eighth	100	th	one hundredth
9	th	ninth	19	th	nineteenth	29	th	twenty-ninth	1,000	th	one thousandth
10	th	tenth	20	th	twentieth	30	th	thirtieth	1,000,000	th	one millionth
